country,Meals,Drinks,Groceries,Fruits and Vegetables,Market Items,Cigarettes,Transport,Utilities,Entertainment and Education,Clothing and Shoes,Housing,Mortgage,Total Cost of Living
Ghana,0.10910763967247547,0.020368864714543175,0.06800552983704665,0.035393483469397025,0.022773775396403368,0.004323980821930453,45.48677214102882,0.21075762702847536,23.860989360820895,0.2289402093049638,29.839208643491904,0.11335874441313742,16466.308
Gibraltar,0.10376547753769984,0.014872401620769946,0.03609361206457021,0.015321011768019402,0.011146986919698391,0.003959472169201703,64.65929229603744,0.1513474103296582,12.157013161441526,0.3750283307060382,22.468044328924076,0.00411551048128847,102538.92000000001
Greece,0.1157872888056312,0.030760595867512022,0.06721546124602833,0.018620209882878644,0.021199113522155588,0.009839711426510151,75.72270389465469,0.47531639288439465,12.509955902061787,0.5026354035673687,10.518641802630563,0.007324223450494115,48621.00583333333
Greenland,0.24891504420773694,0.0514707803617907,0.07363684632765297,0.03570574416159199,0.04793271117491026,0.029604762666193923,68.93162687547358,1.4534838292110241,0.1000410941110151,0.8488865646260841,28.178695747678407,0.0,19996.7825
Guadeloupe,0.10426314814502954,0.0397854532594601,0.09982149172294169,0.037027837186978996,0.02864973644768528,0.0,90.70914939121941,0.4550487529681211,0.09293797679392399,0.0,8.429106111382428,0.004210100874016941,47504.8
Guatemala,0.08630431856811772,0.022067886575222045,0.05160541587360632,0.022446359563979154,0.026260202758377687,0.007224259137044986,80.61144848350447,0.244160827230491,13.269608186462248,0.5803280221234514,5.061968089486653,0.016577948716327756,48087.976
Guinea,0.36718836683395023,0.11207227544236222,0.27068168520302716,0.11055562784022196,0.12771769281180878,0.011973533701107071,0.17960300551660607,1.238223031810486,62.133300552458834,1.197353370110707,34.251330858270876,0.0,12527.630000000001
Guinea-Bissau,0.41828114947683415,0.19887214972621023,0.2439274839634444,0.2026442242204903,0.17477278490164314,0.03373911075439394,0.18231693389020323,0.3403249432617127,1.632889136635016,6.901010287285383,89.67122179588468,0.0,4771.910000000001
Guyana,0.14393178239494347,0.04348252465089084,0.12182045602991601,0.08539227713355797,0.10717979746395116,0.0055278315912568685,76.31243211637774,0.4881144682087235,7.687964777304714,0.8205244917632998,14.163692276948527,0.019937200132482926,21617.879999999997
Haiti,0.10098342099218818,0.022020230191441368,0.037742646901890456,0.01754706855305441,0.011680536416677937,0.002294637923276376,88.48128808476913,0.2570740922550606,7.748063353238995,0.36306977656640554,2.943307182570572,0.014928969621316181,72342.568
Honduras,0.07685393308029058,0.018378725145754084,0.04293586438952945,0.020014128682580117,0.026529656638499266,0.004643342066521995,87.80847799213382,0.4607102326797973,7.533956947149075,0.42702894634160726,3.5566956781903087,0.02377455350222671,45304.35909090909
Hong Kong,0.051633610037894004,0.01574358135522349,0.04310138946444872,0.013635542495795263,0.016984389038304664,0.005310123202863517,43.77689584073259,0.14857004252634848,13.049260865539408,0.23131723876795535,42.64585961154981,0.0016877652893523486,149902.36000000002
Hungary,0.10308754312043938,0.01693937791849795,0.06268051940140396,0.02313016859322886,0.014361324014314378,0.011508838095396328,84.30900589944773,0.36804609053546794,7.310151269893357,0.48061513614695883,7.28610261937694,0.014371213456286792,36770.15999999999
Iceland,0.1627380135892381,0.03132153262575539,0.08182482951474439,0.021335294053213535,0.033577389965151194,0.014377020692932861,77.44357083332743,0.22893230993070493,4.247658437523903,0.6673733004120801,17.060272298725373,0.007018739639480974,71665.28833333333
India,0.05315876747575256,0.024128076965744247,0.04819328205615926,0.01580431818006868,0.03765110108718982,0.01124988748968481,89.37470360561511,0.12114415567787819,3.9228572356130553,0.37327947606462836,5.990857064450345,0.026973029324391704,30096.375508982033
Indonesia,0.034302430798141666,0.019820380767045793,0.040086688130303624,0.019418935626814994,0.0347711541405441,0.003882119070763702,86.26277137663678,0.15793752566162997,9.433227407418132,0.34130009554394336,3.6383239947852615,0.014157891420632507,44962.557
Iran,0.030015535166878902,0.005707300399018015,0.025119317474970888,0.007087522787780584,0.0027594019196567846,0.0029463341925587035,93.14885659094918,0.039546473940205905,0.7778825447276457,0.3654836185448358,5.575822875409061,0.01877248448818661,103665.23702702706
Iraq,0.10222547169773068,0.028826794710059337,0.07813826139813687,0.019167580074767678,0.0517720928176724,0.006814166361521453,86.59106040091014,0.38555594619549816,5.036859514387243,0.5257272897954981,7.154751404985891,0.019101076665859706,28023.17045454545
Ireland,0.14017311446501832,0.026086296903207663,0.044883950981092505,0.018339955687010495,0.023913956117987835,0.021252524734014764,79.96560029303748,0.30988378516745047,6.808838669504304,0.3921282305893785,12.244105632669953,0.004793590143107909,72397.81545454546
Isle Of Man,0.1352467076782755,0.02223904573920213,0.03378718457844641,0.01903054905215865,0.017512023902565555,0.018075347748382348,65.57117731499773,0.22753384902773985,22.553257983462288,0.2216311948172247,11.177398271673459,0.0031105273225536015,81658.17999999998
